Períodos,Total,Var_Abs,Var_Pct,CAGR
2018,47122155,,,0.0
2019,47077981,-44174.0,-0.09374359046185887,-0.018755752337840104
2020,47939243,861262.0,1.829436993060507,0.344415064696002
2021,49284444,1345201.0,2.806053904522443,0.9013422671089621
2022,50547983,1263539.0,2.5637683971843073,1.4134920690630048
2023,51290303,742320.0,1.4685452434373136,1.7096182450065722
